"Name","Article_Number","Origin","Alcohol","Price","Volume","Manufacturer","Type","Region","Vintage","Is_New"
"Los Gansos Cabernet Sauvignon","8751201","Chile","13 %","95,00 kr","750 ml","Cono Sur","Rött","Valle Central","2017","No"
"Château Capet-Guillier Saint Emilion Grand Cru","7664101","Frankrike","13,5 %","405,00 kr","750 ml","Maison Antoine Moueix","Rött","Bordeaux","2018","No"
"Tocornal Sauvignon Blanc","","Chile","12 %","73,00 kr","750 ml","Cono Sur","Vitt","Valle Central","2018","No"
"Trapiche Estación 1883 Chardonnay","605501","Argentina","14 %","95,00 kr","750 ml","Trapiche","Vitt","Mendoza","2014","No"
"Cantina Zaccagnini Dal Tralcetto Montepulciano","302308","Italien","12,5 %","266,00 kr","3 l","Cantina Zaccagnini","Rött","Abruzzo","2017","No"
"Cantina Zaccagnini Dal Tralcetto Montepulciano","302301","Italien","12,5 %","109,00 kr","750 ml","Cantina Zaccagnini","Rött","Abruzzo","2017","No"
"Apothic Inferno","7038701","USA","16 %","149,00 kr","750 ml","Apothic","Rött","American","2016","No"
"Llebre","7571501","Spanien","13,5 %","110,00 kr","750 ml","Tomàs Cusiné","Rött","Katalonien","2015","No"
"Bonchelli Rosso EKO","7907901","Italien","13,5 %","109,00 kr","750 ml","MGM Mondo del Vino srl","Rött","Sicilien","2017","No"
"Apothic Red Winemaker’s Blend","642008","USA","13,5 %","289,00 kr","3 l","Apothic","Rött","Kalifornien","2016","No"
"Barefoot Bubbly Pink Moscato Rosé","7712501","USA","8 %","79,00 kr","750 ml","Barefoot Winery","Mousserande","Kalifornien","Non Vintage","No"
"Barefoot Merlot","7475501","USA","13,5 %","79,00 kr","750 ml","Barefoot Winery","Rött","Kalifornien","Non Vintage","No"
"Barefoot Pinot Grigio","7916801","USA","12 %","79,00 kr","750 ml","Barefoot Winery","Vitt","Kalifornien","Non Vintage","No"
"Boschendal 1685 Shiraz","7161601","Sydafrika","14 %","125,00 kr","750 ml","Boschendal","Rött","Coastal Region, Western Cape","2016","No"
"Carramimbre Crianza","7505401","Spanien","14,5 %","165,00 kr","750 ml","","Rött","Kastilien-León","2015","No"
"Château Grand Renom Bordeaux Supérieur","7568701","Frankrike","14 %","150,00 kr","750 ml","Maison Antoine Moueix","Rött","Bordeaux","2015","No"
"Cono Sur Bícicleta Viognier","8109901","Chile","13,5 %","95,00 kr","750 ml","Cono Sur","Vitt","Valle Central","2017","No"
"Cono Sur Cosecha Noble Riesling","7953202","Chile","12 %","79,00 kr","380 ml","Cono Sur","Sött","South Region","2013","No"
